scenario,query_idx,query_name,value,ci_low,ci_high,margin,runs,kind
Baseline,1,Service ratio >=95%,0.7864077669902912,0.736447,0.830783,0.04716800000000004,309,probability
Baseline,2,Avg customer lead time,10.0,10.0,10.0,0.0,50,estimate_zero_variance
Baseline,3,Safe stock recovery time,148.04,127.118,168.962,20.922,50,estimate
Baseline,4,Latent production blocked time,611.88,600.7145,623.0455,11.1655,50,estimate
Baseline,5,Active production blocked time,605.06,590.8122999999999,619.3077,14.2477,50,estimate
Baseline,6,Defect rate,1.66,1.412309,1.9076909999999998,0.247691,50,estimate
Baseline,7,Stockout duration,35.9,30.192549999999997,41.60745,5.70745,50,estimate
Baseline,8,Activation: emergency raw replenishment,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Baseline,9,Activation: adaptive raw safety stock,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Baseline,10,Activation: demand surge capacity,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Baseline,11,Activation: backup finished-goods truck,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Baseline,12,Minimum availability,95.24,94.360647,96.11935299999999,0.879353,50,estimate
Baseline,13,Demand shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Baseline,14,Raw shortage occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Baseline,15,Quality shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Baseline,16,Transport delay window count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Baseline,17,Transport delayed trip count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R,1,Service ratio >=95%,0.7784810126582279,0.728607,0.823049,0.04722100000000001,316,probability
R,2,Avg customer lead time,10.68,10.546083,10.813917,0.133917,50,estimate
R,3,Safe stock recovery time,214.62,192.7722,236.4678,21.8478,50,estimate
R,4,Latent production blocked time,611.02,601.69226,620.3477399999999,9.32774,50,estimate
R,5,Active production blocked time,617.6,608.61126,626.58874,8.98874,50,estimate
R,6,Defect rate,1.72,1.4384839999999999,2.001516,0.281516,50,estimate
R,7,Stockout duration,55.92,50.89718,60.942820000000005,5.02282,50,estimate
R,8,Activation: emergency raw replenishment,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R,9,Activation: adaptive raw safety stock,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R,10,Activation: demand surge capacity,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R,11,Activation: backup finished-goods truck,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R,12,Minimum availability,93.18,92.37067300000001,93.989327,0.809327,50,estimate
R,13,Demand shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R,14,Raw shortage occurrence count,2.0,2.0,2.0,0.0,50,estimate_zero_variance
R,15,Quality shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R,16,Transport delay window count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R,17,Transport delayed trip count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
D,1,Service ratio >=95%,0.8455598455598455,0.795689,0.887316,0.04581350000000001,259,probability
D,2,Avg customer lead time,10.24,10.117392,10.362608,0.122608,50,estimate
D,3,Safe stock recovery time,190.22,165.0382,215.4018,25.1818,50,estimate
D,4,Latent production blocked time,614.76,603.4823,626.0377,11.2777,50,estimate
D,5,Active production blocked time,621.84,611.9939,631.6861,9.8461,50,estimate
D,6,Defect rate,1.66,1.4190559999999999,1.900944,0.240944,50,estimate
D,7,Stockout duration,46.68,40.2824,53.0776,6.3976,50,estimate
D,8,Activation: emergency raw replenishment,0.0,0.0,0.0,0.0,50,estimate_zero_variance
D,9,Activation: adaptive raw safety stock,0.0,0.0,0.0,0.0,50,estimate_zero_variance
D,10,Activation: demand surge capacity,0.0,0.0,0.0,0.0,50,estimate_zero_variance
D,11,Activation: backup finished-goods truck,0.0,0.0,0.0,0.0,50,estimate_zero_variance
D,12,Minimum availability,94.2,93.416944,94.983056,0.783056,50,estimate
D,13,Demand shock occurrence count,1.06,0.9918218000000001,1.1281782,0.0681782,50,estimate
D,14,Raw shortage occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
D,15,Quality shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
D,16,Transport delay window count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
D,17,Transport delayed trip count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Q,1,Service ratio >=95%,0.8061224489795918,0.75623,0.849725,0.0467475,294,probability
Q,2,Avg customer lead time,10.02,9.979808499999999,10.0601915,0.0401915,50,estimate
Q,3,Safe stock recovery time,158.42,140.7354,176.10459999999998,17.6846,50,estimate
Q,4,Latent production blocked time,609.9,599.6972999999999,620.1027,10.2027,50,estimate
Q,5,Active production blocked time,617.34,605.6849000000001,628.9951,11.6551,50,estimate
Q,6,Defect rate,1.84,1.607765,2.072235,0.232235,50,estimate
Q,7,Stockout duration,43.98,39.059079999999994,48.90092,4.92092,50,estimate
Q,8,Activation: emergency raw replenishment,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Q,9,Activation: adaptive raw safety stock,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Q,10,Activation: demand surge capacity,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Q,11,Activation: backup finished-goods truck,0.0,0.0,0.0,0.0,50,estimate_zero_variance
Q,12,Minimum availability,95.28,94.484332,96.07566800000001,0.795668,50,estimate
