query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.755287,331,0.705295,0.800645,DD_PE_PS,1780487886,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_2.txt
estimate E 800 50 max avg lead time,8.48,50,8.18033,8.77967,DD_PE_PS,1780488010,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/002_estimate_E_800_50_max_avg_lead_time_2.txt
estimate E 800 50 max max safe stock recovery time live all,17.38,50,8.64838,26.1116,DD_PE_PS,1780488045,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_2.txt
estimate E 800 50 max max latent production blocked time live all,46.32,50,29.8909,62.7491,DD_PE_PS,1780488081,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_2.txt
estimate E 800 50 max max production blocked time live all,34.66,50,26.6744,42.6456,DD_PE_PS,1780488118,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/005_estimate_E_800_50_max_max_production_blocked_time_live_all_2.txt
estimate E 800 50 max defect rate pct,1.58,50,1.32265,1.83735,DD_PE_PS,1780488153,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/006_estimate_E_800_50_max_defect_rate_pct_2.txt
estimate E 800 50 max max stockout duration live all,1.1,50,-0.46637,2.66637,DD_PE_PS,1780488189,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/007_estimate_E_800_50_max_max_stockout_duration_live_all_2.txt
estimate E 800 50 max total emergency raw replenishments,25.34,50,24.47,26.21,DD_PE_PS,1780488224,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/008_estimate_E_800_50_max_total_emergency_raw_replenishments_2.txt
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,DD_PE_PS,1780488259,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_2.txt
estimate E 800 50 max surge capacity activation count,152.2,50,107.004,197.396,DD_PE_PS,1780488294,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/010_estimate_E_800_50_max_surge_capacity_activation_count_2.txt
estimate E 800 50 max total backup finished goods truck activations,0,50,0,0,DD_PE_PS,1780488330,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_2.txt
estimate E 800 50 min min availability pct all,99.98,50,99.9398,100.02,DD_PE_PS,1780488365,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/012_estimate_E_800_50_min_min_availability_pct_all_2.txt
estimate E 800 50 max total demand shocks,1.16,50,1.05475,1.26525,DD_PE_PS,1780488400,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/013_estimate_E_800_50_max_total_demand_shocks_2.txt
estimate E 800 50 max total raw shortage events,0,50,0,0,DD_PE_PS,1780488435,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/014_estimate_E_800_50_max_total_raw_shortage_events_2.txt
estimate E 800 50 max total shock events,0,50,0,0,DD_PE_PS,1780488470,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/015_estimate_E_800_50_max_total_shock_events_2.txt
estimate E 800 50 max total finished transport delay windows,0,50,0,0,DD_PE_PS,1780488505,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/016_estimate_E_800_50_max_total_finished_transport_delay_windows_2.txt
estimate E 800 50 max total finished transport delayed trips,0,50,0,0,DD_PE_PS,1780488540,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_PE_PS_queries_traces/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_2.txt
