query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.767802,323,0.717863,0.812754,DD,1780479424,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_2.txt
estimate E 800 50 max avg lead time,10.12,50,10.0267,10.2133,DD,1780479526,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/002_estimate_E_800_50_max_avg_lead_time_2.txt
estimate E 800 50 max max safe stock recovery time live all,185,50,159.996,210.004,DD,1780479562,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_2.txt
estimate E 800 50 max max latent production blocked time live all,616.8,50,607.479,626.121,DD,1780479598,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_2.txt
estimate E 800 50 max max production blocked time live all,608.56,50,599.966,617.154,DD,1780479633,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/005_estimate_E_800_50_max_max_production_blocked_time_live_all_2.txt
estimate E 800 50 max defect rate pct,1.68,50,1.41414,1.94586,DD,1780479669,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/006_estimate_E_800_50_max_defect_rate_pct_2.txt
estimate E 800 50 max max stockout duration live all,51.42,50,43.8345,59.0055,DD,1780479704,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/007_estimate_E_800_50_max_max_stockout_duration_live_all_2.txt
estimate E 800 50 max total emergency raw replenishments,0,50,0,0,DD,1780479739,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/008_estimate_E_800_50_max_total_emergency_raw_replenishments_2.txt
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,DD,1780479775,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_2.txt
estimate E 800 50 max surge capacity activation count,0,50,0,0,DD,1780479815,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/010_estimate_E_800_50_max_surge_capacity_activation_count_2.txt
estimate E 800 50 max total backup finished goods truck activations,0,50,0,0,DD,1780479856,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_2.txt
estimate E 800 50 min min availability pct all,94.3,50,93.5101,95.0899,DD,1780479901,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/012_estimate_E_800_50_min_min_availability_pct_all_2.txt
estimate E 800 50 max total demand shocks,1.1,50,1.01388,1.18612,DD,1780479953,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/013_estimate_E_800_50_max_total_demand_shocks_2.txt
estimate E 800 50 max total raw shortage events,0,50,0,0,DD,1780480001,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/014_estimate_E_800_50_max_total_raw_shortage_events_2.txt
estimate E 800 50 max total shock events,0,50,0,0,DD,1780480042,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/015_estimate_E_800_50_max_total_shock_events_2.txt
estimate E 800 50 max total finished transport delay windows,0,50,0,0,DD,1780480080,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/016_estimate_E_800_50_max_total_finished_transport_delay_windows_2.txt
estimate E 800 50 max total finished transport delayed trips,0,50,0,0,DD,1780480119,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DD_queries_traces/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_2.txt
