query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.774295,319,0.724413,0.819002,DR_PE,1780486070,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_3.txt
estimate E 800 50 max avg lead time,9.48,50,9.33657,9.62343,DR_PE,1780486180,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/002_estimate_E_800_50_max_avg_lead_time_3.txt
estimate E 800 50 max max safe stock recovery time live all,10.26,50,9.78027,10.7397,DR_PE,1780486213,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_3.txt
estimate E 800 50 max max latent production blocked time live all,57.54,50,52.3049,62.7751,DR_PE,1780486247,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_3.txt
estimate E 800 50 max max production blocked time live all,54.56,50,50.77,58.35,DR_PE,1780486282,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/005_estimate_E_800_50_max_max_production_blocked_time_live_all_3.txt
estimate E 800 50 max defect rate pct,1.7,50,1.44163,1.95837,DR_PE,1780486316,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/006_estimate_E_800_50_max_defect_rate_pct_3.txt
estimate E 800 50 max max stockout duration live all,0,50,0,0,DR_PE,1780486350,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/007_estimate_E_800_50_max_max_stockout_duration_live_all_3.txt
estimate E 800 50 max total emergency raw replenishments,23.9,50,23.6833,24.1167,DR_PE,1780486384,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/008_estimate_E_800_50_max_total_emergency_raw_replenishments_3.txt
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,DR_PE,1780486417,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_3.txt
estimate E 800 50 max surge capacity activation count,0,50,0,0,DR_PE,1780486451,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/010_estimate_E_800_50_max_surge_capacity_activation_count_3.txt
estimate E 800 50 max total backup finished goods truck activations,0,50,0,0,DR_PE,1780486485,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_3.txt
estimate E 800 50 min min availability pct all,100,50,100,100,DR_PE,1780486519,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/012_estimate_E_800_50_min_min_availability_pct_all_3.txt
estimate E 800 50 max total demand shocks,0,50,0,0,DR_PE,1780486554,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/013_estimate_E_800_50_max_total_demand_shocks_3.txt
estimate E 800 50 max total raw shortage events,2,50,2,2,DR_PE,1780486590,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/014_estimate_E_800_50_max_total_raw_shortage_events_3.txt
estimate E 800 50 max total shock events,0,50,0,0,DR_PE,1780486624,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/015_estimate_E_800_50_max_total_shock_events_3.txt
estimate E 800 50 max total finished transport delay windows,0,50,0,0,DR_PE,1780486658,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/016_estimate_E_800_50_max_total_finished_transport_delay_windows_3.txt
estimate E 800 50 max total finished transport delayed trips,0,50,0,0,DR_PE,1780486692,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_DR_PE_queries_traces/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_3.txt
