query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.755287,331,0.705295,0.800645,PE,1786528412,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_1.txt
estimate E 800 50 max avg lead time,9.52,50,9.34547,9.69453,PE,1786528563,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/002_estimate_E_800_50_max_avg_lead_time_1.txt
estimate E 800 50 max max safe stock recovery time live all,8.58,50,8.2075,8.9525,PE,1786528586,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_1.txt
estimate E 800 50 max max latent production blocked time live all,15.92,50,14.3699,17.4701,PE,1786528614,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_1.txt
estimate E 800 50 max max production blocked time live all,16.82,50,15.4532,18.1868,PE,1786528638,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/005_estimate_E_800_50_max_max_production_blocked_time_live_all_1.txt
estimate E 800 50 max defect rate pct,1.74,50,1.46578,2.01422,PE,1786528664,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/006_estimate_E_800_50_max_defect_rate_pct_1.txt
estimate E 800 50 max max stockout duration live all,0,50,0,0,PE,1786528688,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/007_estimate_E_800_50_max_max_stockout_duration_live_all_1.txt
estimate E 800 50 max total emergency raw replenishments,22.46,50,22.215,22.705,PE,1786528713,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/008_estimate_E_800_50_max_total_emergency_raw_replenishments_1.txt
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,PE,1786528738,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_1.txt
estimate E 800 50 max surge capacity activation count,0,50,0,0,PE,1786528763,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/010_estimate_E_800_50_max_surge_capacity_activation_count_1.txt
estimate E 800 50 max total backup finished goods truck activations,0,50,0,0,PE,1786528790,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_1.txt
estimate E 800 50 min min availability pct all,100,50,100,100,PE,1786528814,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/012_estimate_E_800_50_min_min_availability_pct_all_1.txt
estimate E 800 50 max total demand shocks,0,50,0,0,PE,1786528839,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/013_estimate_E_800_50_max_total_demand_shocks_1.txt
estimate E 800 50 max total raw shortage events,0,50,0,0,PE,1786528864,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/014_estimate_E_800_50_max_total_raw_shortage_events_1.txt
estimate E 800 50 max total shock events,0,50,0,0,PE,1786528889,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/015_estimate_E_800_50_max_total_shock_events_1.txt
estimate E 800 50 max total finished transport delay windows,0,50,0,0,PE,1786528914,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/016_estimate_E_800_50_max_total_finished_transport_delay_windows_1.txt
estimate E 800 50 max total finished transport delayed trips,0,50,0,0,PE,1786528939,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_PE_queries_traces/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_1.txt
