query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.79538,303,0.74551,0.839369,baseline,1780473719,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_3.txt
estimate E 800 50 max avg lead time,15,50,15,15,baseline,1780473839,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/002_estimate_E_800_50_max_avg_lead_time_3.txt
estimate E 800 50 max max safe stock recovery time live all,418.56,50,389.624,447.496,baseline,1780473874,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_3.txt
estimate E 800 50 max max latent production blocked time live all,723.76,50,721.197,726.323,baseline,1780473910,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_3.txt
estimate E 800 50 max max production blocked time live all,724.42,50,722.361,726.479,baseline,1780473945,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/005_estimate_E_800_50_max_max_production_blocked_time_live_all_3.txt
estimate E 800 50 max defect rate pct,1.5,50,1.28326,1.71674,baseline,1780473981,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/006_estimate_E_800_50_max_defect_rate_pct_3.txt
estimate E 800 50 max max stockout duration live all,178.48,50,172.066,184.894,baseline,1780474016,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/007_estimate_E_800_50_max_max_stockout_duration_live_all_3.txt
estimate E 800 50 max total emergency raw replenishments,0,50,0,0,baseline,1780474051,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/008_estimate_E_800_50_max_total_emergency_raw_replenishments_3.txt
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,baseline,1780474086,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_3.txt
estimate E 800 50 max surge capacity activation count,0,50,0,0,baseline,1780474121,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/010_estimate_E_800_50_max_surge_capacity_activation_count_3.txt
estimate E 800 50 max total backup finished goods truck activations,0,50,0,0,baseline,1780474156,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_3.txt
estimate E 800 50 min min availability pct all,76.46,50,75.541,77.379,baseline,1780474191,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/012_estimate_E_800_50_min_min_availability_pct_all_3.txt
estimate E 800 50 max total demand shocks,0,50,0,0,baseline,1780474227,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/013_estimate_E_800_50_max_total_demand_shocks_3.txt
estimate E 800 50 max total raw shortage events,0,50,0,0,baseline,1780474262,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/014_estimate_E_800_50_max_total_raw_shortage_events_3.txt
estimate E 800 50 max total shock events,0,50,0,0,baseline,1780474297,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/015_estimate_E_800_50_max_total_shock_events_3.txt
estimate E 800 50 max total finished transport delay windows,0,50,0,0,baseline,1780474332,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/016_estimate_E_800_50_max_total_finished_transport_delay_windows_3.txt
estimate E 800 50 max total finished transport delayed trips,0,50,0,0,baseline,1780474367,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_baseline_queries_traces/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_3.txt
