query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.776025,317,0.726082,0.820728,DD_PE_PS,1780487886,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_1.txt"
estimate E 800 50 max avg lead time,8.56,50,8.28368,8.83632,DD_PE_PS,1780488010,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/002_estimate_E_800_50_max_avg_lead_time_1.txt"
estimate E 800 50 max max safe stock recovery time live all,12.22,50,7.30082,17.1392,DD_PE_PS,1780488045,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_1.txt"
estimate E 800 50 max max latent production blocked time live all,52.32,50,34.7686,69.8714,DD_PE_PS,1780488081,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_1.txt"
estimate E 800 50 max max production blocked time live all,37.52,50,27.5712,47.4688,DD_PE_PS,1780488118,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/005_estimate_E_800_50_max_max_production_blocked_time_live_all_1.txt"
estimate E 800 50 max defect rate pct,1.86,50,1.59063,2.12937,DD_PE_PS,1780488153,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/006_estimate_E_800_50_max_defect_rate_pct_1.txt"
estimate E 800 50 max max stockout duration live all,0.76,50,-0.76728,2.28728,DD_PE_PS,1780488189,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/007_estimate_E_800_50_max_max_stockout_duration_live_all_1.txt"
estimate E 800 50 max total emergency raw replenishments,24.74,50,23.9407,25.5393,DD_PE_PS,1780488224,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/008_estimate_E_800_50_max_total_emergency_raw_replenishments_1.txt"
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,DD_PE_PS,1780488259,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_1.txt"
estimate E 800 50 max surge capacity activation count,125.14,50,87.0247,163.255,DD_PE_PS,1780488294,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/010_estimate_E_800_50_max_surge_capacity_activation_count_1.txt"
estimate E 800 50 max total backup finished goods truck activations,0,50,0,0,DD_PE_PS,1780488330,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_1.txt"
estimate E 800 50 min min availability pct all,99.82,50,99.4968,100.143,DD_PE_PS,1780488365,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/012_estimate_E_800_50_min_min_availability_pct_all_1.txt"
estimate E 800 50 max total demand shocks,1.12,50,1.02671,1.21329,DD_PE_PS,1780488400,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/013_estimate_E_800_50_max_total_demand_shocks_1.txt"
estimate E 800 50 max total raw shortage events,0,50,0,0,DD_PE_PS,1780488435,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/014_estimate_E_800_50_max_total_raw_shortage_events_1.txt"
estimate E 800 50 max total shock events,0,50,0,0,DD_PE_PS,1780488470,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/015_estimate_E_800_50_max_total_shock_events_1.txt"
estimate E 800 50 max total finished transport delay windows,0,50,0,0,DD_PE_PS,1780488505,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/016_estimate_E_800_50_max_total_finished_transport_delay_windows_1.txt"
estimate E 800 50 max total finished transport delayed trips,0,50,0,0,DD_PE_PS,1780488540,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces D + E,S/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_1.txt"
