query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.765432,324,0.715437,0.810501,DF_PB,1780486928,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_1.txt
estimate E 800 50 max avg lead time,10.02,50,9.97981,10.0602,DF_PB,1780487046,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/002_estimate_E_800_50_max_avg_lead_time_1.txt
estimate E 800 50 max max safe stock recovery time live all,142.58,50,126.974,158.186,DF_PB,1780487082,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_1.txt
estimate E 800 50 max max latent production blocked time live all,604.7,50,592.344,617.056,DF_PB,1780487118,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_1.txt
estimate E 800 50 max max production blocked time live all,606.06,50,593.998,618.122,DF_PB,1780487153,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/005_estimate_E_800_50_max_max_production_blocked_time_live_all_1.txt
estimate E 800 50 max defect rate pct,1.72,50,1.43848,2.00152,DF_PB,1780487189,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/006_estimate_E_800_50_max_defect_rate_pct_1.txt
estimate E 800 50 max max stockout duration live all,39.6,50,34.1827,45.0173,DF_PB,1780487224,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/007_estimate_E_800_50_max_max_stockout_duration_live_all_1.txt
estimate E 800 50 max total emergency raw replenishments,0,50,0,0,DF_PB,1780487260,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/008_estimate_E_800_50_max_total_emergency_raw_replenishments_1.txt
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,DF_PB,1780487295,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_1.txt
estimate E 800 50 max surge capacity activation count,0,50,0,0,DF_PB,1780487330,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/010_estimate_E_800_50_max_surge_capacity_activation_count_1.txt
estimate E 800 50 max total backup finished goods truck activations,2.6,50,2.42775,2.77225,DF_PB,1780487366,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_1.txt
estimate E 800 50 min min availability pct all,94.86,50,94.1136,95.6064,DF_PB,1780487401,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/012_estimate_E_800_50_min_min_availability_pct_all_1.txt
estimate E 800 50 max total demand shocks,0,50,0,0,DF_PB,1780487438,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/013_estimate_E_800_50_max_total_demand_shocks_1.txt
estimate E 800 50 max total raw shortage events,0,50,0,0,DF_PB,1780487473,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/014_estimate_E_800_50_max_total_raw_shortage_events_1.txt
estimate E 800 50 max total shock events,0,50,0,0,DF_PB,1780487508,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/015_estimate_E_800_50_max_total_shock_events_1.txt
estimate E 800 50 max total finished transport delay windows,3,50,3,3,DF_PB,1780487542,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/016_estimate_E_800_50_max_total_finished_transport_delay_windows_1.txt
estimate E 800 50 max total finished transport delayed trips,43.16,50,34.7636,51.5564,DF_PB,1780487577,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces F + B/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_1.txt
