query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.765432,324,0.715437,0.810501,DD_DR_DQ_DF_PE_PA_PS_PB,1780495221,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F + E,A,S,B/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_1.txt"
estimate E 800 50 max avg lead time,8.86,50,8.66102,9.05898,DD_DR_DQ_DF_PE_PA_PS_PB,1780495345,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F + E,A,S,B/002_estimate_E_800_50_max_avg_lead_time_1.txt"
estimate E 800 50 max max safe stock recovery time live all,39.88,50,33.3669,46.3931,DD_DR_DQ_DF_PE_PA_PS_PB,1780495380,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F + E,A,S,B/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_1.txt"
estimate E 800 50 max max latent production blocked time live all,23.64,50,19.6842,27.5958,DD_DR_DQ_DF_PE_PA_PS_PB,1780495417,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F + E,A,S,B/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_1.txt"
estimate E 800 50 max max production blocked time live all,38.82,50,27.8431,49.7969,DD_DR_DQ_DF_PE_PA_PS_PB,1780495454,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F + E,A,S,B/005_estimate_E_800_50_max_max_production_blocked_time_live_all_1.txt"
estimate E 800 50 max defect rate pct,1.6,50,1.36327,1.83673,DD_DR_DQ_DF_PE_PA_PS_PB,1780495491,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F + E,A,S,B/006_estimate_E_800_50_max_defect_rate_pct_1.txt"
estimate E 800 50 max max stockout duration live all,4.52,50,2.3761,6.6639,DD_DR_DQ_DF_PE_PA_PS_PB,1780495526,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F + E,A,S,B/007_estimate_E_800_50_max_max_stockout_duration_live_all_1.txt"
estimate E 800 50 max total emergency raw replenishments,12.98,50,11.8439,14.1161,DD_DR_DQ_DF_PE_PA_PS_PB,1780495563,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F + E,A,S,B/008_estimate_E_800_50_max_total_emergency_raw_replenishments_1.txt"
estimate E 800 50 max total adaptive raw safety replenishments,44.24,50,43.5193,44.9607,DD_DR_DQ_DF_PE_PA_PS_PB,1780495599,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F + E,A,S,B/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_1.txt"
estimate E 800 50 max surge capacity activation count,135,50,93.2565,176.743,DD_DR_DQ_DF_PE_PA_PS_PB,1780495634,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F + E,A,S,B/010_estimate_E_800_50_max_surge_capacity_activation_count_1.txt"
