query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.747774,337,0.697866,0.793269,DD_DR_DQ_DF,1780492870,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_1.txt"
estimate E 800 50 max avg lead time,11.06,50,10.954,11.166,DD_DR_DQ_DF,1780493003,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/002_estimate_E_800_50_max_avg_lead_time_1.txt"
estimate E 800 50 max max safe stock recovery time live all,216.58,50,194.249,238.911,DD_DR_DQ_DF,1780493040,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_1.txt"
estimate E 800 50 max max latent production blocked time live all,599.86,50,587.617,612.103,DD_DR_DQ_DF,1780493076,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_1.txt"
estimate E 800 50 max max production blocked time live all,606.12,50,595.36,616.88,DD_DR_DQ_DF,1780493111,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/005_estimate_E_800_50_max_max_production_blocked_time_live_all_1.txt"
estimate E 800 50 max defect rate pct,1.84,50,1.55662,2.12338,DD_DR_DQ_DF,1780493146,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/006_estimate_E_800_50_max_defect_rate_pct_1.txt"
estimate E 800 50 max max stockout duration live all,71.54,50,65.8207,77.2593,DD_DR_DQ_DF,1780493181,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/007_estimate_E_800_50_max_max_stockout_duration_live_all_1.txt"
estimate E 800 50 max total emergency raw replenishments,0,50,0,0,DD_DR_DQ_DF,1780493216,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/008_estimate_E_800_50_max_total_emergency_raw_replenishments_1.txt"
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,DD_DR_DQ_DF,1780493251,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_1.txt"
estimate E 800 50 max surge capacity activation count,0,50,0,0,DD_DR_DQ_DF,1780493286,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/010_estimate_E_800_50_max_surge_capacity_activation_count_1.txt"
estimate E 800 50 max total backup finished goods truck activations,0,50,0,0,DD_DR_DQ_DF,1780493321,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_1.txt"
estimate E 800 50 min min availability pct all,91.78,50,90.8993,92.6607,DD_DR_DQ_DF,1780493355,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/012_estimate_E_800_50_min_min_availability_pct_all_1.txt"
estimate E 800 50 max total demand shocks,1.08,50,1.00212,1.15788,DD_DR_DQ_DF,1780493391,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/013_estimate_E_800_50_max_total_demand_shocks_1.txt"
estimate E 800 50 max total raw shortage events,2,50,2,2,DD_DR_DQ_DF,1780493426,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/014_estimate_E_800_50_max_total_raw_shortage_events_1.txt"
estimate E 800 50 max total shock events,1,50,1,1,DD_DR_DQ_DF,1780493460,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/015_estimate_E_800_50_max_total_shock_events_1.txt"
estimate E 800 50 max total finished transport delay windows,3,50,3,3,DD_DR_DQ_DF,1780493495,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/016_estimate_E_800_50_max_total_finished_transport_delay_windows_1.txt"
estimate E 800 50 max total finished transport delayed trips,37.26,50,31.2846,43.2354,DD_DR_DQ_DF,1780493530,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,D,Q,F/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_1.txt"
