query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.770186,322,0.720306,0.815019,DR_DQ_PE,1780492046,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_1.txt"
estimate E 800 50 max avg lead time,9.68,50,9.53429,9.82571,DR_DQ_PE,1780492159,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/002_estimate_E_800_50_max_avg_lead_time_1.txt"
estimate E 800 50 max max safe stock recovery time live all,8.88,50,8.44032,9.31968,DR_DQ_PE,1780492194,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_1.txt"
estimate E 800 50 max max latent production blocked time live all,18.16,50,16.3853,19.9347,DR_DQ_PE,1780492229,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_1.txt"
estimate E 800 50 max max production blocked time live all,17.78,50,16.1067,19.4533,DR_DQ_PE,1780492264,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/005_estimate_E_800_50_max_max_production_blocked_time_live_all_1.txt"
estimate E 800 50 max defect rate pct,1.64,50,1.4349,1.8451,DR_DQ_PE,1780492298,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/006_estimate_E_800_50_max_defect_rate_pct_1.txt"
estimate E 800 50 max max stockout duration live all,0,50,0,0,DR_DQ_PE,1780492332,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/007_estimate_E_800_50_max_max_stockout_duration_live_all_1.txt"
estimate E 800 50 max total emergency raw replenishments,23,50,22.7564,23.2436,DR_DQ_PE,1780492366,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/008_estimate_E_800_50_max_total_emergency_raw_replenishments_1.txt"
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,DR_DQ_PE,1780492400,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_1.txt"
estimate E 800 50 max surge capacity activation count,0,50,0,0,DR_DQ_PE,1780492433,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/010_estimate_E_800_50_max_surge_capacity_activation_count_1.txt"
estimate E 800 50 max total backup finished goods truck activations,0,50,0,0,DR_DQ_PE,1780492467,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_1.txt"
estimate E 800 50 min min availability pct all,100,50,100,100,DR_DQ_PE,1780492501,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/012_estimate_E_800_50_min_min_availability_pct_all_1.txt"
estimate E 800 50 max total demand shocks,0,50,0,0,DR_DQ_PE,1780492535,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/013_estimate_E_800_50_max_total_demand_shocks_1.txt"
estimate E 800 50 max total raw shortage events,2,50,2,2,DR_DQ_PE,1780492569,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/014_estimate_E_800_50_max_total_raw_shortage_events_1.txt"
estimate E 800 50 max total shock events,1,50,1,1,DR_DQ_PE,1780492602,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/015_estimate_E_800_50_max_total_shock_events_1.txt"
estimate E 800 50 max total finished transport delay windows,0,50,0,0,DR_DQ_PE,1780492636,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/016_estimate_E_800_50_max_total_finished_transport_delay_windows_1.txt"
estimate E 800 50 max total finished transport delayed trips,0,50,0,0,DR_DQ_PE,1780492669,"/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces R,Q + E/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_1.txt"
