query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.786408,309,0.736447,0.830783,baseline,1780473719,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_1.txt
estimate E 800 50 max avg lead time,10,50,10,10,baseline,1780473839,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/002_estimate_E_800_50_max_avg_lead_time_1.txt
estimate E 800 50 max max safe stock recovery time live all,148.04,50,127.118,168.962,baseline,1780473874,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_1.txt
estimate E 800 50 max max latent production blocked time live all,611.88,50,600.715,623.045,baseline,1780473910,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_1.txt
estimate E 800 50 max max production blocked time live all,605.06,50,590.812,619.308,baseline,1780473945,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/005_estimate_E_800_50_max_max_production_blocked_time_live_all_1.txt
estimate E 800 50 max defect rate pct,1.66,50,1.41231,1.90769,baseline,1780473981,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/006_estimate_E_800_50_max_defect_rate_pct_1.txt
estimate E 800 50 max max stockout duration live all,35.9,50,30.1925,41.6075,baseline,1780474016,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/007_estimate_E_800_50_max_max_stockout_duration_live_all_1.txt
estimate E 800 50 max total emergency raw replenishments,0,50,0,0,baseline,1780474051,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/008_estimate_E_800_50_max_total_emergency_raw_replenishments_1.txt
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,baseline,1780474086,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_1.txt
estimate E 800 50 max surge capacity activation count,0,50,0,0,baseline,1780474121,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/010_estimate_E_800_50_max_surge_capacity_activation_count_1.txt
estimate E 800 50 max total backup finished goods truck activations,0,50,0,0,baseline,1780474156,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_1.txt
estimate E 800 50 min min availability pct all,95.24,50,94.3606,96.1194,baseline,1780474191,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/012_estimate_E_800_50_min_min_availability_pct_all_1.txt
estimate E 800 50 max total demand shocks,0,50,0,0,baseline,1780474227,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/013_estimate_E_800_50_max_total_demand_shocks_1.txt
estimate E 800 50 max total raw shortage events,0,50,0,0,baseline,1780474262,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/014_estimate_E_800_50_max_total_raw_shortage_events_1.txt
estimate E 800 50 max total shock events,0,50,0,0,baseline,1780474297,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/015_estimate_E_800_50_max_total_shock_events_1.txt
estimate E 800 50 max total finished transport delay windows,0,50,0,0,baseline,1780474332,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/016_estimate_E_800_50_max_total_finished_transport_delay_windows_1.txt
estimate E 800 50 max total finished transport delayed trips,0,50,0,0,baseline,1780474367,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces baseline/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_1.txt
