query_name,value,runs,ci_low,ci_high,scenario_tag,seed,trace_file
probability Pr 800 sim time 800 service ratio pct 95,0.806122,294,0.75623,0.849725,DQ,1780484158,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/001_probability_Pr_800_sim_time_800_service_ratio_pct_95_1.txt
estimate E 800 50 max avg lead time,10.02,50,9.97981,10.0602,DQ,1780484271,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/002_estimate_E_800_50_max_avg_lead_time_1.txt
estimate E 800 50 max max safe stock recovery time live all,158.42,50,140.735,176.105,DQ,1780484306,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/003_estimate_E_800_50_max_max_safe_stock_recovery_time_live_all_1.txt
estimate E 800 50 max max latent production blocked time live all,609.9,50,599.697,620.103,DQ,1780484342,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/004_estimate_E_800_50_max_max_latent_production_blocked_time_live_all_1.txt
estimate E 800 50 max max production blocked time live all,617.34,50,605.685,628.995,DQ,1780484378,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/005_estimate_E_800_50_max_max_production_blocked_time_live_all_1.txt
estimate E 800 50 max defect rate pct,1.84,50,1.60777,2.07224,DQ,1780484414,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/006_estimate_E_800_50_max_defect_rate_pct_1.txt
estimate E 800 50 max max stockout duration live all,43.98,50,39.0591,48.9009,DQ,1780484450,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/007_estimate_E_800_50_max_max_stockout_duration_live_all_1.txt
estimate E 800 50 max total emergency raw replenishments,0,50,0,0,DQ,1780484486,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/008_estimate_E_800_50_max_total_emergency_raw_replenishments_1.txt
estimate E 800 50 max total adaptive raw safety replenishments,0,50,0,0,DQ,1780484521,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/009_estimate_E_800_50_max_total_adaptive_raw_safety_replenishments_1.txt
estimate E 800 50 max surge capacity activation count,0,50,0,0,DQ,1780484556,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/010_estimate_E_800_50_max_surge_capacity_activation_count_1.txt
estimate E 800 50 max total backup finished goods truck activations,0,50,0,0,DQ,1780484591,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/011_estimate_E_800_50_max_total_backup_finished_goods_truck_activations_1.txt
estimate E 800 50 min min availability pct all,95.28,50,94.4843,96.0757,DQ,1780484626,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/012_estimate_E_800_50_min_min_availability_pct_all_1.txt
estimate E 800 50 max total demand shocks,0,50,0,0,DQ,1780484661,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/013_estimate_E_800_50_max_total_demand_shocks_1.txt
estimate E 800 50 max total raw shortage events,0,50,0,0,DQ,1780484696,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/014_estimate_E_800_50_max_total_raw_shortage_events_1.txt
estimate E 800 50 max total shock events,1,50,1,1,DQ,1780484731,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/015_estimate_E_800_50_max_total_shock_events_1.txt
estimate E 800 50 max total finished transport delay windows,0,50,0,0,DQ,1780484768,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/016_estimate_E_800_50_max_total_finished_transport_delay_windows_1.txt
estimate E 800 50 max total finished transport delayed trips,0,50,0,0,DQ,1780484803,/Users/ahmadsalameh/Cowork-C/switchable-sta-prmm/results/raw_traces/Supply Chain V11.4.1_queries_traces Q/017_estimate_E_800_50_max_total_finished_transport_delayed_trips_1.txt
